[2023/06/05 02:57:05] - 13 	 2049.6 	 	 40.5 	 	 0.1000 	 1.9149 	 0.5461 	 2.5721 	 	 0.4410 	 	 3.6916 	 0.2118 	 3.9926 	 	 0.1772
[2023/06/05 03:31:56] - 14 	 2050.6 	 	 40.3 	 	 0.1000 	 1.8779 	 0.5566 	 2.5423 	 	 0.4494 	 	 6.3640 	 0.1250 	 6.7206 	 	 0.1016
[2023/06/05 04:06:43] - 15 	 2046.7 	 	 40.5 	 	 0.1000 	 1.8434 	 0.5656 	 2.5153 	 	 0.4556 	 	 4.2903 	 0.1994 	 4.7704 	 	 0.1620
[2023/06/05 04:41:30] - 16 	 2047.2 	 	 40.2 	 	 0.1000 	 1.8180 	 0.5727 	 2.4946 	 	 0.4610 	 	 3.6726 	 0.2664 	 4.1449 	 	 0.2216
[2023/06/05 05:16:16] - 17 	 2045.3 	 	 40.3 	 	 0.1000 	 1.7967 	 0.5783 	 2.4797 	 	 0.4645 	 	 3.2386 	 0.2876 	 3.5397 	 	 0.2398
[2023/06/05 05:51:03] - 18 	 2047.3 	 	 40.3 	 	 0.1000 	 1.7723 	 0.5843 	 2.4591 	 	 0.4701 	 	 5.1372 	 0.1572 	 5.7749 	 	 0.1172
[2023/06/05 06:25:52] - 19 	 2048.2 	 	 40.3 	 	 0.1000 	 1.7501 	 0.5909 	 2.4446 	 	 0.4738 	 	 3.2692 	 0.2714 	 3.5936 	 	 0.2296
[2023/06/05 07:00:31] - 20 	 2038.0 	 	 40.2 	 	 0.1000 	 1.7333 	 0.5948 	 2.4319 	 	 0.4758 	 	 3.5393 	 0.2896 	 4.0169 	 	 0.2420
[2023/06/05 07:35:15] - 21 	 2044.4 	 	 40.1 	 	 0.1000 	 1.7220 	 0.5984 	 2.4212 	 	 0.4783 	 	 3.6249 	 0.2388 	 4.0517 	 	 0.1892
[2023/06/05 08:10:04] - 22 	 2048.1 	 	 40.5 	 	 0.1000 	 1.7106 	 0.6008 	 2.4137 	 	 0.4814 	 	 3.7514 	 0.2298 	 4.1672 	 	 0.1834
[2023/06/05 08:44:55] - 23 	 2051.4 	 	 40.2 	 	 0.1000 	 1.6962 	 0.6062 	 2.4023 	 	 0.4855 	 	 3.2775 	 0.3028 	 3.7002 	 	 0.2514
[2023/06/05 09:19:45] - 24 	 2049.1 	 	 40.3 	 	 0.1000 	 1.6806 	 0.6092 	 2.3914 	 	 0.4879 	 	 24.5125 	 0.1896 	 26.3301 	 	 0.1516
[2023/06/05 09:54:42] - 25 	 2056.4 	 	 41.1 	 	 0.1000 	 1.6742 	 0.6108 	 2.3831 	 	 0.4901 	 	 4.1098 	 0.3168 	 4.5862 	 	 0.2616
[2023/06/05 10:29:38] - 26 	 2055.5 	 	 40.3 	 	 0.1000 	 1.6689 	 0.6127 	 2.3832 	 	 0.4904 	 	 3.1164 	 0.3374 	 3.5233 	 	 0.2760
[2023/06/05 11:04:17] - 27 	 2038.5 	 	 40.2 	 	 0.1000 	 1.6494 	 0.6178 	 2.3654 	 	 0.4945 	 	 3.8401 	 0.2290 	 4.4294 	 	 0.1738
[2023/06/05 11:38:42] - 28 	 2024.5 	 	 40.3 	 	 0.1000 	 1.6496 	 0.6175 	 2.3685 	 	 0.4921 	 	 2.8335 	 0.3550 	 3.1297 	 	 0.3044
[2023/06/05 12:13:14] - 29 	 2031.4 	 	 40.4 	 	 0.0100 	 1.6393 	 0.6209 	 2.3595 	 	 0.4951 	 	 3.1420 	 0.2972 	 3.4457 	 	 0.2514
[2023/06/05 12:47:47] - 30 	 2032.2 	 	 40.3 	 	 0.0100 	 1.3939 	 0.6685 	 1.8716 	 	 0.6148 	 	 2.7675 	 0.3552 	 3.0871 	 	 0.2966
[2023/06/05 13:22:39] - 31 	 2051.2 	 	 40.2 	 	 0.0100 	 1.2544 	 0.7005 	 1.7454 	 	 0.6422 	 	 2.2177 	 0.4672 	 2.4570 	 	 0.4202
[2023/06/05 13:58:22] - 32 	 2102.6 	 	 40.4 	 	 0.0100 	 1.1929 	 0.7173 	 1.6928 	 	 0.6558 	 	 5.6773 	 0.3562 	 6.1042 	 	 0.3092
[2023/06/05 14:34:03] - 33 	 2100.7 	 	 40.3 	 	 0.0100 	 1.1532 	 0.7274 	 1.6637 	 	 0.6609 	 	 2.2665 	 0.4630 	 2.5230 	 	 0.4070
[2023/06/05 15:09:24] - 34 	 2080.5 	 	 40.6 	 	 0.0100 	 1.1243 	 0.7349 	 1.6440 	 	 0.6671 	 	 68.3172 	 0.0610 	 72.5815 	 	 0.0426
