[2023/06/04 18:13:35] - Namespace(activation='relu', l2=0, l1=0, act_beta_l2=5, act_beta_clip=0.1, batch_size=128, data_dir='/data/xuwang_yin/Projects/adversarial-corruptions/datasets/imagenet100', epochs=100, lr_schedule='piecewise', lr_max=0.1, attack='pgd', epsilon=128, attack_iters=10, attack_iters_test=20, restarts=1, pgd_alpha=19.125, norm='l_2', fname='imagenet100_l2_vr_0.3', seed=0, half=False, width_factor=10, resume=0, cutout=False, cutout_len=None, mixup=False, mixup_alpha=None, eval=False, chkpt_iters=10, var_reg_type='var', var_reg=0.3, var_norm='l_2', logits_reg=True, reg_only_correct=False, trades=False, trades_beta=6.0)
[2023/06/04 18:13:36] - Epoch 	 Train Time 	 Test Time 	 LR 	 	 Train Loss 	 Train Acc 	 Train Robust Loss 	 Train Robust Acc 	 Test Loss 	 Test Acc 	 Test Robust Loss 	 Test Robust Acc
[2023/06/04 18:30:06] - Namespace(activation='relu', l2=0, l1=0, act_beta_l2=5, act_beta_clip=0.1, batch_size=128, data_dir='/data/xuwang_yin/Projects/adversarial-corruptions/datasets/imagenet100', epochs=100, lr_schedule='piecewise', lr_max=0.1, attack='pgd', epsilon=128, attack_iters=10, attack_iters_test=20, restarts=1, pgd_alpha=19.125, norm='l_2', fname='imagenet100_l2_vr_0.3', seed=0, half=False, width_factor=10, resume=0, cutout=False, cutout_len=None, mixup=False, mixup_alpha=None, eval=False, chkpt_iters=10, var_reg_type='var', var_reg=0.3, var_norm='l_2', logits_reg=True, reg_only_correct=False, trades=False, trades_beta=6.0)
[2023/06/04 18:30:07] - Epoch 	 Train Time 	 Test Time 	 LR 	 	 Train Loss 	 Train Acc 	 Train Robust Loss 	 Train Robust Acc 	 Test Loss 	 Test Acc 	 Test Robust Loss 	 Test Robust Acc
[2023/06/04 18:50:12] - Namespace(activation='relu', l2=0, l1=0, act_beta_l2=5, act_beta_clip=0.1, batch_size=128, data_dir='/data/xuwang_yin/Projects/adversarial-corruptions/datasets/imagenet100', epochs=100, lr_schedule='piecewise', lr_max=0.1, attack='pgd', epsilon=128, attack_iters=10, attack_iters_test=20, restarts=1, pgd_alpha=19.125, norm='l_2', fname='imagenet100_l2_vr_0.3', seed=0, half=False, width_factor=10, resume=0, cutout=False, cutout_len=None, mixup=False, mixup_alpha=None, eval=False, chkpt_iters=10, var_reg_type='var', var_reg=0.3, var_norm='l_2', logits_reg=True, reg_only_correct=False, trades=False, trades_beta=6.0)
[2023/06/04 18:50:14] - Epoch 	 Train Time 	 Test Time 	 LR 	 	 Train Loss 	 Train Acc 	 Train Robust Loss 	 Train Robust Acc 	 Test Loss 	 Test Acc 	 Test Robust Loss 	 Test Robust Acc
[2023/06/04 19:25:39] - 0 	 2085.3 	 	 40.6 	 	 0.1000 	 4.6465 	 0.0148 	 4.7692 	 	 0.0138 	 	 5.3802 	 0.0098 	 5.4070 	 	 0.0096
[2023/06/04 20:00:26] - 1 	 2046.1 	 	 40.6 	 	 0.1000 	 4.3838 	 0.0383 	 4.4598 	 	 0.0357 	 	 5.7767 	 0.0352 	 5.8540 	 	 0.0342
[2023/06/04 20:35:09] - 2 	 2031.7 	 	 50.5 	 	 0.1000 	 3.9465 	 0.0987 	 4.1341 	 	 0.0856 	 	 5.3161 	 0.0570 	 5.4273 	 	 0.0526
[2023/06/04 21:09:54] - 3 	 2044.2 	 	 40.4 	 	 0.1000 	 3.4052 	 0.2008 	 3.7284 	 	 0.1692 	 	 3.7832 	 0.1326 	 3.8837 	 	 0.1238
[2023/06/04 21:44:28] - 4 	 2032.8 	 	 40.2 	 	 0.1000 	 2.9972 	 0.2859 	 3.4131 	 	 0.2379 	 	 12.7986 	 0.0672 	 13.1863 	 	 0.0596
[2023/06/04 22:19:16] - 5 	 2047.7 	 	 40.1 	 	 0.1000 	 2.7024 	 0.3527 	 3.1832 	 	 0.2919 	 	 4.4699 	 0.1736 	 4.7812 	 	 0.1506
[2023/06/04 22:53:47] - 6 	 2030.8 	 	 40.2 	 	 0.1000 	 2.5040 	 0.3984 	 3.0292 	 	 0.3268 	 	 11.7024 	 0.1036 	 12.1591 	 	 0.0866
[2023/06/04 23:28:32] - 7 	 2044.8 	 	 40.2 	 	 0.1000 	 2.3596 	 0.4348 	 2.9173 	 	 0.3548 	 	 3.2088 	 0.2512 	 3.4022 	 	 0.2190
[2023/06/05 00:03:16] - 8 	 2043.2 	 	 40.2 	 	 0.1000 	 2.2433 	 0.4638 	 2.8267 	 	 0.3785 	 	 3.5732 	 0.2350 	 3.8006 	 	 0.2018
[2023/06/05 00:38:04] - 9 	 2047.6 	 	 40.1 	 	 0.1000 	 2.1572 	 0.4852 	 2.7604 	 	 0.3943 	 	 3.4544 	 0.2504 	 3.7506 	 	 0.2128
[2023/06/05 01:12:44] - 10 	 2038.6 	 	 40.6 	 	 0.1000 	 2.0810 	 0.5050 	 2.7002 	 	 0.4087 	 	 3.1122 	 0.3008 	 3.3984 	 	 0.2642
[2023/06/05 01:47:27] - 11 	 2042.2 	 	 40.4 	 	 0.1000 	 2.0179 	 0.5210 	 2.6504 	 	 0.4207 	 	 6.0355 	 0.1212 	 6.4247 	 	 0.0962
[2023/06/05 02:22:15] - 12 	 2047.7 	 	 40.5 	 	 0.1000 	 1.9666 	 0.5342 	 2.6108 	 	 0.4318 	 	 3.1117 	 0.2940 	 3.4235 	 	 0.2490
